"","stratum","name","Year","FirstVisit","LastVisit","Strata","States","nBirdSpecies","CompletedGrids","CompletedPoints","nPriority","DensitySpeciesCount","DensityRobustCV","DensityPrioritySpecies","OccupancySpeciesCount","OccupancyRobustCV","OccupancyPrioritySpecies","PlannedGrids","LongStratum","is_superstratum"
"168","MT-All Other 2018-Present","All Other Lands in Montana",2023,45069,45119,3,1,146,25,322,26,179,57,36,180,73,35,26,"",TRUE
"169","MT-BCR10","Montana BCR 10: Total",2023,45073,45122,21,1,147,118,1351,19,194,80,30,201,90,31,119,"",TRUE
"170","MT-BCR10-ON","All Other Lands in Montana BCR 10",2023,45077,45116,1,1,88,7,75,13,131,15,16,133,15,16,8,"MT-BCR10-ON: All Other Lands",FALSE
"171","MT-BCR11","Montana BCR 11: Total",2023,45067,45115,4,1,111,31,434,20,132,32,23,135,38,24,33,"",TRUE
"172","MT-BCR11-AO","All Other Lands in Montana BCR 11",2023,45072,45106,1,1,79,8,114,13,119,18,22,118,23,21,8,"MT-BCR11-AO: All Other Lands",FALSE
"173","MT-BCR17","Montana BCR 17: Total",2023,45068,45119,5,1,146,29,399,20,180,39,30,183,45,30,30,"",TRUE
"174","MT-BCR17-AO","All Other Lands in Montana BCR 17",2023,45069,45119,1,1,91,10,133,16,134,21,21,135,21,21,10,"MT-BCR17-AO: All Other Lands",FALSE
"175","NE-BCR17-ON","All Other Lands in Nebraska BCR 17",2023,45076,45102,1,1,51,4,47,3,78,10,10,78,12,10,4,"NE-BCR17-ON: All Other Lands",FALSE
"176","ND-BCR17-AT","All Other Lands in North Dakota BCR 17",2023,45086,45103,1,1,51,4,34,14,84,10,19,87,10,21,4,"ND-BCR17-AT: All Other Lands",FALSE
"177","OK-BCR18-AO","All Other Lands in Oklahoma BCR 18",2023,45047,45062,1,1,67,6,62,15,87,15,15,87,16,15,6,"OK-BCR18-AO: All Other Lands",FALSE
"178","OK-BCR18-PL","Playas in Oklahoma BCR 18",2023,45048,45059,1,1,17,2,14,7,47,2,8,46,2,7,2,"OK-BCR18-PL: Playas",FALSE
"179","OK-BCR18-RV","Rivers in Oklahoma BCR 18",2023,45056,45058,1,1,17,2,14,7,85,4,11,85,4,11,2,"OK-BCR18-RV: Rivers",FALSE
"180","OK-BCR19-AO","All Other Lands in Oklahoma BCR 19",2023,45049,45058,1,1,96,8,54,22,101,20,11,105,25,12,8,"OK-BCR19-AO: All Other Lands",FALSE
"181","OK-BCR19-PL","Playas in Oklahoma BCR 19",2023,45057,45061,1,1,29,2,15,9,43,4,7,43,5,7,2,"OK-BCR19-PL: Playas",FALSE
"182","OK-BCR19-RV","Rivers in Oklahoma BCR 19",2023,45055,45056,1,1,57,2,16,14,92,9,11,96,14,12,2,"OK-BCR19-RV: Rivers",FALSE
"183","SD-BCR17-AT","All Other Lands in South Dakota BCR 17",2023,45071,45090,1,1,58,5,57,10,94,12,12,94,12,12,5,"SD-BCR17-AT: All Other Lands",FALSE
"184","UT","Utah Statewide: Total",2023,45051,45118,42,1,173,256,2919,10,221,124,16,224,131,16,273,"",TRUE
"185","UT-All Other Lands","All Other Lands in Utah",2023,45051,45114,4,1,149,92,1042,6,197,85,13,199,89,14,108,"",TRUE
"186","UT-BCR9","Utah BCR 9: Total",2023,45051,45107,17,1,123,103,1238,5,170,69,13,171,72,13,109,"",TRUE
"187","UT-BCR9-AO","All Other Lands in Utah BCR 9",2023,45051,45107,1,1,106,35,383,3,141,38,8,141,41,8,41,"UT-BCR9-AO: All Other Lands",FALSE
"188","UT-BCR10","Utah BCR 10: Total",2023,45063,45111,5,1,82,15,174,3,134,19,10,136,21,10,17,"",TRUE
"189","UT-BCR10-AO","All Other Lands in Utah BCR 10",2023,45063,45099,1,1,32,3,26,1,90,5,6,91,5,6,5,"UT-BCR10-AO: All Other Lands",FALSE
"190","UT-BCR16","Utah BCR 16: Total",2023,45052,45118,18,1,143,122,1320,5,195,109,11,195,112,11,129,"",TRUE
"191","UT-BCR16-AO","All Other Lands in Utah BCR 16",2023,45056,45114,1,1,120,41,481,4,163,54,8,163,60,8,47,"UT-BCR16-AO: All Other Lands",FALSE
"192","UT-BCR33","Utah BCR 33: Total",2023,45054,45064,2,1,66,16,187,1,115,10,4,116,12,4,18,"",TRUE
"193","UT-BCR33-AO","All Other Lands in Utah BCR 33",2023,45054,45064,1,1,57,13,152,0,109,16,1,110,18,1,15,"UT-BCR33-AO: All Other Lands",FALSE
"194","WY","Wyoming Statewide: Total",2023,45069,45127,37,1,210,233,2883,54,221,118,67,226,134,70,236,"",TRUE
"195","WY-All Other","All Other Lands in Wyoming",2023,45069,45105,4,1,144,45,508,29,196,58,57,197,70,58,46,"",TRUE
"196","WY-BCR10","Wyoming BCR 10: Total",2023,45070,45127,23,1,193,158,2012,47,203,101,60,208,114,63,158,"",TRUE
"197","WY-BCR10-AO","All Other Lands in Wyoming BCR 10",2023,45070,45105,1,1,110,15,152,14,165,29,39,167,33,41,15,"WY-BCR10-AO: All Other Lands",FALSE
"198","WY-BCR16","Wyoming BCR 16: Total",2023,45086,45125,4,1,102,21,210,14,164,46,39,163,48,39,24,"",TRUE
"199","WY-BCR16-AO","All Other Lands in Wyoming BCR 16",2023,45086,45104,1,1,52,6,56,9,113,11,24,114,12,25,7,"WY-BCR16-AO: All Other Lands",FALSE
"200","WY-BCR17","Wyoming BCR 17: Total",2023,45069,45100,6,1,122,36,441,28,174,33,45,177,38,47,36,"",TRUE
"201","WY-BCR17-AO","All Other Lands in Wyoming BCR 17",2023,45069,45100,1,1,90,12,141,25,149,23,36,149,26,36,12,"WY-BCR17-AO: All Other Lands",FALSE
"202","WY-BCR18","Wyoming BCR 18: Total",2023,45071,45096,3,1,65,16,201,14,112,18,32,112,19,32,16,"",TRUE
"203","WY-BCR18-AO","All Other Lands in Wyoming BCR 18",2023,45071,45096,1,1,54,12,159,14,104,16,25,105,19,26,12,"WY-BCR18-AO: All Other Lands",FALSE
"204","BCR17","Bird Conservation Region 17",2023,45068,45119,31,5,192,159,1851,48,229,83,69,239,96,71,172,"",TRUE
